"","Name","Position","College","Draft.Year","Team","Draft.Round","Pick.Number","PlayerID","Games","Avg.Value","AV16","Height","Weight","Wonderlic","Forty","Bench","Vert","Broad","Shuttle","ThreeCone","Pro.Bowls","All.Pros"
"23","Jack Conklin","OL","Michigan State",2016,"TEN",1,8,"ConkJa00",57,36,10.1052631578947,77.75,308,NA,5,25,30,103,4.57,7.63,NA,NA
"24","Jason Kelce","OL","Cincinnati",2011,"PHI",6,191,"KelcJa00",126,79,10.031746031746,74.625,280,NA,4.89,NA,30.5,110,4.14,7.22,3,4
"25","David DeCastro","OL","Stanford",2012,"PIT",1,24,"DeCaDa00",112,70,10,76.875,316,NA,5.32,34,29.5,98,4.56,7.3,NA,NA
"26","Tytus Howard","OL","Alabama State",2019,"HOU",1,23,"HowaTy00",8,5,10,77,322,NA,5.05,21,29.5,103,4.87,8.34,NA,NA
"27","Max Unger","OL","Oregon",2009,"SEA",2,49,"UngeMa20",130,81,9.96923076923077,76.625,309,NA,5.26,22,24.5,93,4.5,7.39,3,1
"28","Jake Matthews","OL","Texas A&M",2014,"ATL",1,6,"MattJa00",95,59,9.93684210526316,77.5,308,NA,5.07,24,30.5,104,4.47,7.34,NA,NA
"29","Duane Brown","OL","Virginia Tech",2008,"HOU",1,26,"BrowDu20",170,105,9.88235294117647,76.125,315,NA,5.09,24,27.5,105,4.52,7.58,NA,NA
"30","Nick Hardwick","OL","Purdue",2004,"SD",3,66,"HardNi55",136,83,9.76470588235294,75.5,295,NA,5.2,27,34,108,4.55,7.72,1,NA
"31","Nate Solder","OL","Colorado",2011,"NE",1,17,"SoldNa00",130,78,9.6,80.25,319,NA,4.96,21,32,110,4.34,7.44,NA,NA
"32","Lane Johnson","OL","Oklahoma",2013,"PHI",1,4,"JohnLa01",92,55,9.56521739130435,78,303,28,4.72,28,34,118,4.52,7.31,NA,NA
"33","Jake Long","OL","Michigan",2008,"MIA",1,1,"LongJa20",104,62,9.53846153846154,79,313,NA,5.26,37,27.5,102,4.73,7.44,NA,NA
"34","Joe Thuney","OL","North Carolina State",2016,"NE",3,78,"ThunJo00",64,38,9.5,76.625,304,NA,4.95,28,28.5,110,4.54,7.47,NA,NA
"35","Ryan Kalil","OL","Southern California",2007,"CAR",2,59,"KaliRy20",155,92,9.49677419354839,74.75,299,NA,4.98,34,26,104,4.34,7.5,5,4
"36","Nick Kaczur","OL","Toledo",2005,"NE",3,100,"KaczNi20",68,40,9.41176470588235,76.5,319,NA,5.3,NA,31.5,NA,NA,NA,NA,NA
"37","Bryan Bulaga","OL","Iowa",2010,"GB",1,23,"BulaBr20",115,67,9.32173913043478,77.375,314,NA,5.2,26,27.5,98,4.75,7.7,NA,NA
"38","Joe Staley","OL","Central Michigan",2007,"SF",1,28,"StalJo20",181,104,9.19337016574586,77.875,306,NA,4.78,27,NA,NA,NA,NA,NA,NA
"39","Mike McGlinchey","OL","Notre Dame",2018,"SF",1,9,"McGlMi00",28,16,9.14285714285714,79.875,309,NA,NA,24,28.5,105,NA,NA,NA,NA
"40","Alex Mack","OL","California",2009,"CLE",1,21,"MackAl20",165,94,9.11515151515152,75.875,311,NA,NA,NA,NA,NA,NA,NA,6,3
"41","Eric Fisher","OL","Central Michigan",2013,"KC",1,1,"FishEr00",102,58,9.09803921568627,79.25,306,23,5.05,27,28.5,116,4.44,7.59,NA,NA
"42","Ryan Diem","OL","Northern Illinois",2001,"IND",4,118,"DiemRy20",157,89,9.07006369426752,78.9,338,NA,5.14,NA,34,102,4.46,7.5,NA,NA
"43","Shane Olivea","OL","Ohio State",2004,"SD",7,209,"OlivSh20",60,34,9.06666666666667,74.9,302,NA,5.25,NA,29,92,4.71,8.25,NA,NA
"44","Chad Clifton","OL","Tennessee",2000,"GB",2,44,"ClifCh20",165,92,8.92121212121212,77.3,334,NA,5.12,24,30.5,102,4.73,7.58,NA,NA
"45","Russell Okung","OL","Oklahoma State",2010,"SEA",1,6,"OkunRu20",124,68,8.7741935483871,77.25,307,NA,5.18,38,NA,NA,NA,NA,NA,NA
"46","Chris Samuels","OL",NA,2000,"WAS",1,3,"SamuCh00",141,77,8.73758865248227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Jon Stinchcomb","OL","Georgia",2003,"NO",2,37,"StinJo20",90,49,8.71111111111111,77,302,NA,5.09,32,35,115,4.58,7.83,NA,NA
"48","Donovan Smith","OL","Penn State",2015,"TB",2,34,"SmitDo02",79,43,8.70886075949367,77.625,338,NA,5.27,26,32,109,4.79,7.95,NA,NA
"49","Justin Blalock","OL","Texas",2007,"ATL",2,39,"BlalJu20",125,68,8.704,75.25,320,NA,5.1,40,28.5,101,4.72,7.75,NA,NA
"50","Scott Wells","OL","Tennessee",2004,"GB",7,251,"WellSc20",146,79,8.65753424657534,73.9,300,NA,5.26,31,31,109,4.35,7.56,1,NA
"51","Jordan Gross","OL","Utah",2003,"CAR",1,8,"GrosJo20",167,90,8.62275449101796,76.5,300,NA,5.05,28,31.5,112,4.34,7.69,NA,NA
"52","Mark Tauscher","OL","Wisconsin",2000,"GB",7,224,"TausMa20",134,72,8.59701492537313,75.4,318,NA,5.43,22,27,90,4.84,7.91,NA,NA
"53","Matt Kalil","OL","Southern California",2012,"MIN",1,4,"KaliMa00",82,44,8.58536585365854,78.625,306,NA,4.96,30,27,NA,4.65,7.33,NA,NA
"54","Vince Manuwai","OL","Hawaii",2003,"JAX",3,72,"ManuVi20",111,59,8.5045045045045,74,304,NA,5.19,27,29.5,107,4.37,7.57,NA,NA
"55","T.J. Lang","OL","Eastern Michigan",2009,"GB",4,109,"LangT.20",138,73,8.46376811594203,76,316,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Jake Scott","OL","Idaho",2004,"IND",5,141,"ScotJa21",131,69,8.42748091603053,76.9,281,NA,5.04,24,34.5,110,4.68,7.96,NA,NA
"57","David Diehl","OL","Illinois",2003,"NYG",5,160,"DiehDa21",164,86,8.39024390243902,78,310,NA,5.26,22,28,96,4.97,8.1,NA,NA
"58","Levi Jones","OL","Arizona State",2002,"CIN",1,10,"JoneLe23",103,54,8.38834951456311,77.5,304,NA,5.23,NA,NA,102,NA,NA,NA,NA
"59","Bryan Stork","OL","Florida State",2014,"NE",4,105,"StorBr00",21,11,8.38095238095238,75.875,315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Todd Wade","OL","Mississippi",2000,"MIA",2,53,"WadeTo20",99,51,8.24242424242424,79.9,326,NA,5.25,29,27.5,101,4.68,7.68,NA,NA
"61","Rob Havenstein","OL","Wisconsin",2015,"STL",2,57,"HaveRo00",68,35,8.23529411764706,79.375,321,NA,5.46,16,28.5,96,4.87,8.28,NA,NA
"62","Maurice Williams","OL","Michigan",2001,"JAX",2,43,"WillMa25",105,54,8.22857142857143,77,304,NA,5.2,24,NA,NA,NA,NA,NA,NA
"63","Marvel Smith","OL","Arizona State",2000,"PIT",2,38,"SmitMa55",111,57,8.21621621621622,77,320,NA,5.34,24,27.5,100,4.84,7.87,NA,NA
"64","Pat Elflein","OL","Ohio State",2017,"MIN",3,70,"ElflPa00",43,22,8.18604651162791,74.75,303,21,5.32,22,23.5,99,4.71,7.94,NA,NA
"65","Mike Pouncey","OL","Florida",2011,"MIA",1,15,"PounMi00",114,58,8.14035087719298,77,303,NA,5.12,NA,25,96,4.64,7.66,NA,NA
"66","Trent Brown","OL","Florida",2015,"SF",7,244,"BrowTr02",59,30,8.13559322033898,80.5,355,NA,5.29,20,23.5,97,4.78,8.23,NA,NA
"67","Riley Reiff","OL","Iowa",2012,"DET",1,23,"ReifRi00",120,61,8.13333333333333,77.75,313,NA,5.16,23,26.5,98,4.75,7.87,NA,NA
"68","Phil Loadholt","OL","Oklahoma",2009,"MIN",2,54,"LoadPh20",89,45,8.08988764044944,79.75,332,NA,5.49,24,29,95,5.06,8.18,NA,NA
"69","Ben Grubbs","OL","Auburn",2007,"BAL",1,29,"GrubBe20",129,65,8.06201550387597,74.75,311,NA,5.21,29,26.5,103,4.72,7.99,NA,NA
"70","Jermon Bushrod","OL","Towson (MD)",2007,"NO",4,125,"BushJe20",145,73,8.0551724137931,76.625,315,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Ben Hamilton","OL","Minnesota",2001,"DEN",4,113,"HamiBe20",118,59,8,77,303,NA,5.29,17,33.5,106,4.62,7.62,NA,NA
"72","Brian O'Neill","OL",NA,2018,"MIN",2,62,"ONeiBr00",30,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Cam Robinson","OL","Alabama",2017,"JAX",2,34,"RobiCa00",32,16,8,77.75,322,16,5.15,NA,26,106,4.82,7.81,NA,NA
"74","George Foster","OL","Georgia",2003,"DEN",1,20,"FostGe20",68,34,8,77.4,338,NA,5.23,NA,27,100,NA,NA,NA,NA
"75","Kendall Simmons","OL","Auburn",2002,"PIT",1,30,"SimmKe20",84,42,8,74.6,311,NA,5.34,24,28.5,98,4.71,7.84,NA,NA
"76","Marcus Gilbert","OL","Florida",2011,"PIT",2,63,"GilbMa00",88,44,8,78.125,330,NA,5.41,30,NA,NA,NA,NA,NA,NA
"77","Kareem McKenzie","OL","Penn State",2001,"NYJ",3,79,"McKeKa20",161,80,7.95031055900621,77.9,328,NA,5.28,20,33,104,4.8,7.87,NA,NA
"78","Justin Britt","OL","Missouri",2014,"SEA",2,64,"BritJu00",87,43,7.90804597701149,77.875,325,NA,5.19,23,23,99,4.69,8.14,NA,NA
"79","Daryn Colledge","OL","Boise State",2006,"GB",2,47,"CollDa20",141,69,7.82978723404255,76.375,299,NA,5.07,21,32.5,110,4.58,7.43,NA,NA
"80","Orlando Franklin","OL","Miami (FL)",2011,"DEN",2,46,"FranOr00",90,44,7.82222222222222,77.5,316,NA,5.11,26,28.5,NA,NA,NA,NA,NA
"81","Morgan Moses","OL","Virginia",2014,"WAS",3,66,"MoseMo00",88,43,7.81818181818182,78,314,NA,5.35,NA,21.5,104,4.95,7.93,NA,NA
"82","Corey Linsley","OL","Ohio State",2014,"GB",5,161,"LinsCo00",86,42,7.81395348837209,74.625,296,NA,5.24,36,27,NA,NA,NA,NA,NA
"83","Cordy Glenn","OL","Georgia",2012,"BUF",2,41,"GlenCo00",97,47,7.75257731958763,77.75,345,NA,5.08,31,23.5,93,5,8.13,NA,NA
"84","Andre Gurode","OL","Colorado",2002,"DAL",2,37,"GuroAn20",161,78,7.75155279503106,76.4,316,NA,5.37,NA,30.5,96,5.05,8.15,NA,NA
"85","Arron Sears","OL","Tennessee",2007,"TB",2,35,"SearAr20",31,15,7.74193548387097,75.25,319,NA,NA,21,NA,NA,NA,NA,NA,NA
"86","Germain Ifedi","OL","Texas A&M",2016,"SEA",1,31,"IfedGe00",60,29,7.73333333333333,77.75,324,NA,5.27,24,32.5,109,4.75,NA,NA,NA
"87","David Stewart","OL","Mississippi State",2005,"TEN",4,113,"StewDa21",116,56,7.72413793103448,78.5,314,NA,5.25,24,NA,NA,NA,NA,NA,NA
"88","Richie Incognito","OL","Nebraska",2005,"STL",3,81,"IncoRi20",162,78,7.7037037037037,75.25,305,NA,4.92,29,NA,NA,NA,NA,NA,NA
"89","Joel Bitonio","OL","Nevada",2014,"CLE",2,35,"BitoJo00",79,38,7.69620253164557,76.25,302,NA,4.97,22,32,113,4.44,7.37,NA,NA
"90","Leonard Davis","OL","Texas",2001,"ARI",1,2,"DaviLe21",171,82,7.67251461988304,78,370,NA,5.32,33,28,105,5.18,8.2,NA,NA
"91","Brad Meester","OL","Northern Iowa",2000,"JAX",2,60,"MeesBr20",209,100,7.6555023923445,75.4,298,NA,5.13,25,34,110,4.43,7.46,NA,NA
"92","Ja'Wuan James","OL",NA,2014,"MIA",1,19,"JameJa01",65,31,7.63076923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Andy Levitre","OL","Oregon State",2009,"BUF",2,51,"LeviAn20",143,68,7.60839160839161,74.625,305,NA,5.33,23,30.5,103,4.52,NA,NA,NA
"94","Eric Wood","OL","Louisville",2009,"BUF",1,28,"WoodEr20",120,57,7.6,75.875,310,NA,5.19,30,30.5,99,4.51,7.56,1,NA
"95","Justin Hartwig","OL",NA,2002,"TEN",6,187,"HartJu20",99,47,7.5959595959596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Anthony Davis","OL","Rutgers",2010,"SF",1,11,"DaviAn27",72,34,7.55555555555556,77,323,NA,5.36,21,33,NA,4.97,8.17,NA,NA
"97","Travelle Wharton","OL","South Carolina",2004,"CAR",3,94,"WharTr20",115,54,7.51304347826087,75.6,312,NA,5.12,NA,31.5,105,4.58,8.31,NA,NA
"98","Rodger Saffold","OL","Indiana",2010,"STL",2,33,"SaffRo20",130,61,7.50769230769231,76.625,316,NA,5.21,27,29.5,113,4.67,7.42,NA,NA
"99","Kolton Miller","OL","UCLA",2018,"OAK",1,15,"MillKo00",32,15,7.5,80.625,309,NA,4.91,24,31.5,121,4.49,7.34,NA,NA
"100","D.J. Fluker","OL","Alabama",2013,"SD",1,11,"FlukDJ00",92,43,7.47826086956522,76.625,339,NA,5.31,21,NA,NA,NA,NA,NA,NA
"101","Brandon Fusco","OL","Slippery Rock (PA)",2011,"MIN",6,172,"FuscBr00",90,42,7.46666666666667,76,306,NA,5.18,26,28.5,108,4.43,7.29,NA,NA
"102","Jared Veldheer","OL","Hillsdale (MI)",2010,"OAK",3,69,"VeldJa20",120,56,7.46666666666667,80.125,312,NA,5.06,32,33.5,109,4.51,7.4,NA,NA
"103","Jordan Mills","OL","Louisiana Tech",2013,"CHI",5,163,"MillJo02",90,42,7.46666666666667,77,316,NA,5.37,20,28.5,101,4.88,8.1,NA,NA
"104","Sam Baker","OL","Southern California",2008,"ATL",1,21,"BakeSa21",75,35,7.46666666666667,76.625,309,NA,NA,28,NA,NA,NA,NA,NA,NA
"105","Daryl Williams","OL","Oklahoma",2015,"CAR",4,102,"WillDa06",56,26,7.42857142857143,77.25,327,NA,5.34,27,26,97,5.15,NA,NA,NA
"106","Chris Myers","OL","Miami (FL)",2005,"DEN",6,200,"MyerCh20",153,71,7.42483660130719,76.625,300,NA,5.18,25,NA,NA,NA,NA,NA,NA
"107","Travis Claridge","OL","Southern California",2000,"ATL",2,37,"ClarTr20",52,24,7.38461538461539,77.1,303,NA,5.18,29,31.5,100,4.86,7.77,NA,NA
"108","Luke Joeckel","OL","Texas A&M",2013,"JAX",1,2,"JoecLu00",50,23,7.36,78,306,28,5.3,27,28.5,106,4.68,7.4,NA,NA
"109","Doug Free","OL","Northern Illinois",2007,"DAL",4,122,"FreeDo20",124,57,7.35483870967742,78.25,324,NA,5.21,22,30,111,4.53,7.38,NA,NA
"110","Clint Boling","OL","Georgia",2011,"CIN",4,101,"BoliCl00",111,51,7.35135135135135,76.625,308,NA,5.28,28,31,102,4.64,7.66,NA,NA
"111","Hugh Thornton","OL","Illinois",2013,"IND",3,86,"ThorHu00",37,17,7.35135135135135,75.25,320,NA,5.11,27,NA,NA,4.63,7.45,NA,NA
"112","Bryant McKinnie","OL",NA,2002,"MIN",1,7,"McKiBr21",179,82,7.32960893854749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Mike Williams","OL","Texas",2002,"BUF",1,4,"WillMi22",59,27,7.32203389830508,77.6,375,NA,5.3,29,30,100,NA,NA,NA,NA
"114","Andre Smith","OL","Alabama",2009,"CIN",1,6,"SmitAn23",116,53,7.31034482758621,76,332,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Davin Joseph","OL","Oklahoma",2006,"TB",1,23,"JoseDa20",116,53,7.31034482758621,74.625,311,NA,5.13,24,32,111,4.97,NA,NA,NA
"116","Nick Martin","OL","Notre Dame",2016,"HOU",2,50,"MartNi00",46,21,7.30434782608696,76.125,299,NA,5.22,28,28,97,4.72,7.57,NA,NA
"117","Eric Steinbach","OL","Iowa",2003,"CIN",2,33,"SteiEr20",125,57,7.296,78.3,297,NA,4.96,NA,36,119,4.37,7.34,NA,NA
"118","Brandon Brooks","OL","Miami (OH)",2012,"HOU",3,76,"BrooBr00",112,51,7.28571428571429,77,346,NA,4.99,NA,NA,NA,NA,NA,NA,NA
"119","Gosder Cherilus","OL","Boston College",2008,"DET",1,17,"CherGo20",132,60,7.27272727272727,78.375,314,NA,5.19,24,23,102,4.82,7.6,NA,NA
"120","Justin Pugh","OL","Syracuse",2013,"NYG",1,19,"PughJu00",86,39,7.25581395348837,76.5,307,NA,5.14,NA,28.5,103,4.63,7.45,NA,NA
"121","Graham Glasgow","OL","Michigan",2016,"DET",3,95,"GlasGr00",62,28,7.2258064516129,77.875,307,NA,5.13,23,25,106,4.63,7.63,NA,NA
"122","Willie Colon","OL","Hofstra (NY)",2006,"PIT",4,131,"ColoWi20",100,45,7.2,75,320,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Kynan Forney","OL","Hawaii",2001,"ATL",7,219,"FornKy20",98,44,7.18367346938776,74.4,312,NA,5.29,23,27,97,4.7,8.56,NA,NA
"124","Rodney Hudson","OL","Florida State",2011,"KC",2,55,"HudsRo00",127,57,7.18110236220472,74.375,299,NA,5.27,27,25.5,95,4.96,8.03,3,2
"125","Jeff Faine","OL",NA,2003,"CLE",1,21,"FainJe20",125,56,7.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Rob Sims","OL",NA,2006,"SEA",4,128,"SimsRo20",125,56,7.168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Kyle Kosier","OL","Arizona State",2002,"SF",7,248,"KosiKy20",143,64,7.16083916083916,76.8,293,NA,5.09,24,29.5,107,4.49,7.34,NA,NA
"128","Dan Feeney","OL","Indiana",2017,"LAC",3,71,"FeenDa00",47,21,7.14893617021277,76,305,29,5.24,26,28,101,4.68,7.52,NA,NA
"129","Michael Bowie","OL","Northeastern State (OK)",2013,"SEA",7,242,"BowiMi00",9,4,7.11111111111111,76.625,330,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Mike Gandy","OL","Notre Dame",2001,"CHI",3,68,"GandMi20",108,48,7.11111111111111,76.4,305,NA,5.2,NA,30.5,103,4.71,8.03,NA,NA
"131","Laken Tomlinson","OL","Duke",2015,"DET",1,28,"TomlLa01",79,35,7.08860759493671,75.375,323,23,5.33,25,31.5,103,4.87,8.17,NA,NA
"132","Branden Albert","OL","Virginia",2008,"KC",1,15,"AlbeBr20",120,53,7.06666666666667,77.625,309,NA,5.21,23,26,111,4.78,7.97,NA,NA
"133","Jonas Jennings","OL","Georgia",2001,"BUF",3,95,"JennJo20",75,33,7.04,75.6,334,NA,5.27,31,29.5,102,4.93,8.08,NA,NA
"134","Jeff Backus","OL","Michigan",2001,"DET",1,18,"BackJe20",191,84,7.03664921465969,77.5,310,NA,5.29,25,27,99,4.67,8.27,NA,NA
"135","Levi Brown","OL","Penn State",2007,"ARI",1,5,"BrowLe20",82,36,7.02439024390244,77.5,323,NA,5.42,31,25.5,97,4.89,7.87,NA,NA
"136","James Carpenter","OL","Alabama",2011,"SEA",1,25,"CarpJa00",114,50,7.01754385964912,76.375,321,NA,5.22,23,NA,NA,NA,NA,NA,NA
"137","Chester Pitts","OL","San Diego State",2002,"HOU",2,50,"PittCh20",121,53,7.00826446280992,75.6,320,NA,5.22,NA,30,104,4.81,7.84,NA,NA
"138","Zane Beadles","OL","Utah",2010,"DEN",2,45,"BeadZa20",137,60,7.00729927007299,76.375,310,NA,5.28,27,NA,NA,NA,NA,NA,NA
"139","John Sullivan","OL","Notre Dame",2008,"MIN",6,187,"SullJo24",153,67,7.00653594771242,75.5,301,NA,5.4,21,30,103,4.55,7.62,NA,1
"140","Cody Ford","OL","Oklahoma",2019,"BUF",2,38,"FordCo00",16,7,7,75.75,329,NA,5.21,19,28.5,104,4.87,8.27,NA,NA
"141","Bobby Massie","OL","Mississippi",2012,"ARI",4,112,"MassBo00",110,48,6.98181818181818,78.125,316,NA,5.18,22,27.5,103,4.95,7.7,NA,NA
"142","Wes Schweitzer","OL","San Jose State",2016,"ATL",6,195,"SchwWe00",46,20,6.95652173913043,76,300,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Marc Colombo","OL","Boston College",2002,"CHI",1,29,"ColoMa20",111,48,6.91891891891892,79.9,313,NA,5.31,30,29.5,100,4.6,7.65,NA,NA
"144","Ricky Wagner","OL","Wisconsin",2013,"BAL",5,168,"WagnRi00",102,44,6.90196078431373,77.875,308,NA,5.17,20,31.5,101,4.91,7.94,NA,NA
"145","D'Brickashaw Ferguson","OL",NA,2006,"NYJ",1,4,"FergDB20",160,69,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","J.D. Walton","OL","Baylor",2010,"DEN",3,80,"WaltJ.20",56,24,6.85714285714286,74.625,300,NA,5.19,24,27,101,4.69,7.6,NA,NA
"147","Jeremy Zuttah","OL","Rutgers",2008,"TB",3,83,"ZuttJe20",131,56,6.83969465648855,75.375,303,NA,5.07,35,26.5,107,4.54,7.59,NA,NA
"148","Breno Giacomini","OL","Louisville",2008,"GB",5,150,"GiacBr20",94,40,6.80851063829787,79.125,303,NA,5.24,23,22.5,108,4.63,7.56,NA,NA
"149","Max Starks","OL","Florida",2004,"PIT",3,75,"StarMa21",125,53,6.784,79,350,NA,5.43,21,27.5,98,4.65,7.88,NA,NA
"150","Robert Gallery","OL","Iowa",2004,"OAK",1,2,"GallRo20",104,44,6.76923076923077,79.1,323,NA,4.97,24,30,105,4.38,7.42,NA,NA
"151","Cody Whitehair","OL","Kansas State",2016,"CHI",2,56,"WhitCo03",64,27,6.75,75.75,301,NA,5.02,16,25.5,110,4.58,7.32,NA,NA
"152","Manuel Ramirez","OL","Texas Tech",2007,"DET",4,117,"RamiMa20",83,35,6.74698795180723,75,326,NA,5.24,40,NA,NA,NA,NA,NA,NA
"153","Vernon Carey","OL","Miami (FL)",2004,"MIA",1,19,"CareVe20",121,51,6.74380165289256,76.4,335,NA,5.32,30,NA,NA,NA,NA,NA,NA
"154","Michael Schofield","OL","Michigan",2014,"DEN",3,95,"SchoMi00",76,32,6.73684210526316,78.5,301,NA,5.01,NA,24,92,4.57,7.62,NA,NA
"155","Chris Chester","OL","Oklahoma",2006,"BAL",2,56,"ChesCh21",169,71,6.72189349112426,75.375,303,NA,4.91,27,31.5,106,4.5,7.31,NA,NA
"156","Dominic Raiola","OL","Nebraska",2001,"DET",2,50,"RaioDo20",219,92,6.72146118721461,74,307,NA,5.13,29,33,108,4.35,7.55,NA,NA
"157","Rick DeMulling","OL","Idaho",2001,"IND",7,220,"DeMuRi20",81,34,6.71604938271605,75.9,307,NA,5.29,32,31.5,108,4.6,7.62,NA,NA
"158","Frank Ragnow","OL","Arkansas",2018,"DET",1,20,"RagnFr00",31,13,6.70967741935484,77.125,312,NA,NA,26,NA,NA,NA,NA,NA,NA
"159","Russell Bodine","OL","North Carolina",2014,"CIN",4,111,"BodiRu00",74,31,6.7027027027027,75.125,310,NA,5.18,42,29,109,4.66,8.26,NA,NA
"160","Ryan Jensen","OL","Colorado State-Pueblo",2013,"BAL",6,203,"JensRy00",67,28,6.6865671641791,75.5,317,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","John Miller","OL","Louisville",2015,"BUF",3,81,"MillJo04",60,25,6.66666666666667,74.5,303,14,5.33,29,27,104,4.75,8.2,NA,NA
"162","Chad Rinehart","OL","Northern Iowa",2008,"WAS",3,96,"RineCh20",58,24,6.62068965517241,77,320,NA,5.51,26,28.5,106,4.56,7.84,NA,NA
"163","Ereck Flowers","OL","Miami (FL)",2015,"NYG",1,9,"FlowEr00",75,31,6.61333333333333,78.25,329,NA,5.31,37,NA,NA,NA,NA,NA,NA
